날짜,경북,포항,경주,김천,안동,구미,영주,영천,상주,문경,경산,군위,의성,청송,영양,영덕,청도,고령,성주,칠곡,예천,봉화,울진,울릉
2020-02-29,494,21,12,5,19,12,3,27,13,3,167,5,35,2,0,1,126,2,10,28,2,1,0,0
2020-03-31,805,29,32,13,31,53,2,10,2,1,496,2,6,0,1,1,15,5,9,22,5,69,1,0
2020-04-30,66,0,5,0,4,2,0,0,0,1,15,0,0,0,0,0,0,1,0,1,36,1,0,0
2020-05-31,14,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-06-30,10,1,2,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-07-31,12,1,5,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-31,54,5,5,5,0,5,0,0,1,3,16,1,1,0,0,2,3,1,0,1,5,0,0,0
2020-09-30,96,38,31,0,0,2,0,1,2,3,6,0,0,0,0,7,1,3,0,1,1,0,0,0
2020-10-31,36,11,8,1,0,8,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,117,7,7,21,6,3,10,6,0,4,24,1,0,2,0,12,9,0,1,1,0,0,2,1
2020-12-31,720,129,103,40,81,140,38,12,26,2,82,2,4,33,2,5,3,1,1,9,3,0,4,0
2021-01-31,593,193,17,21,62,124,9,4,56,0,56,0,0,6,0,1,11,11,0,19,3,0,0,0
2021-02-28,236,41,4,0,15,9,5,1,3,0,50,10,66,1,0,0,15,0,2,5,5,1,3,0
2021-03-31,251,43,7,1,3,48,6,4,10,1,71,0,15,5,0,3,0,18,0,8,4,0,2,2
2021-04-30,606,50,55,32,29,112,7,8,5,4,268,1,5,0,1,4,2,2,2,17,0,2,0,0
2021-05-31,582,59,106,161,21,60,8,10,13,7,62,0,0,9,0,5,5,4,3,42,4,0,3,0
2021-06-30,257,56,51,24,7,39,3,21,0,2,27,0,1,4,3,1,1,1,8,4,2,0,2,0
2021-07-31,507,85,78,23,25,100,8,22,12,19,80,1,6,0,2,3,3,4,2,24,5,0,5,0
2021-08-31,1644,355,315,126,17,326,36,15,17,15,234,1,53,0,1,2,12,23,5,40,18,2,28,3
2021-09-30,1223,214,200,65,28,303,53,24,25,10,101,2,12,2,1,4,5,23,38,80,11,7,8,7
2021-10-31,1386,84,59,108,27,317,162,75,14,9,290,4,6,1,1,4,7,34,43,127,12,0,1,1
2021-11-30,1559,126,124,73,72,250,80,132,18,76,186,18,10,1,4,65,13,110,79,83,8,27,4,0
2021-12-31,4047,928,539,213,191,527,113,69,100,119,578,22,36,12,12,64,32,22,45,127,106,25,164,3
2022-01-31,6459,1478,547,370,563,1143,203,128,126,56,919,61,28,53,11,25,46,98,106,381,73,24,19,1
2022-02-28,76396,13471,7426,4168,4376,14222,4430,2716,1898,1902,9574,629,858,453,261,648,1050,1361,751,3208,1380,508,1052,54
